date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2017-04-01,2017,4,April,2,Q2,2017-04,Saturday,1,13
2017-04-02,2017,4,April,2,Q2,2017-04,Sunday,1,13
2017-04-03,2017,4,April,2,Q2,2017-04,Monday,0,14
2017-04-04,2017,4,April,2,Q2,2017-04,Tuesday,0,14
2017-04-05,2017,4,April,2,Q2,2017-04,Wednesday,0,14
2017-04-06,2017,4,April,2,Q2,2017-04,Thursday,0,14
2017-04-07,2017,4,April,2,Q2,2017-04,Friday,0,14
2017-04-08,2017,4,April,2,Q2,2017-04,Saturday,1,14
2017-04-09,2017,4,April,2,Q2,2017-04,Sunday,1,14
2017-04-10,2017,4,April,2,Q2,2017-04,Monday,0,15
2017-04-11,2017,4,April,2,Q2,2017-04,Tuesday,0,15
2017-04-12,2017,4,April,2,Q2,2017-04,Wednesday,0,15
2017-04-13,2017,4,April,2,Q2,2017-04,Thursday,0,15
2017-04-14,2017,4,April,2,Q2,2017-04,Friday,0,15
2017-04-15,2017,4,April,2,Q2,2017-04,Saturday,1,15
2017-04-16,2017,4,April,2,Q2,2017-04,Sunday,1,15
2017-04-17,2017,4,April,2,Q2,2017-04,Monday,0,16
2017-04-18,2017,4,April,2,Q2,2017-04,Tuesday,0,16
2017-04-19,2017,4,April,2,Q2,2017-04,Wednesday,0,16
2017-04-20,2017,4,April,2,Q2,2017-04,Thursday,0,16
2017-04-21,2017,4,April,2,Q2,2017-04,Friday,0,16
2017-04-22,2017,4,April,2,Q2,2017-04,Saturday,1,16
2017-04-23,2017,4,April,2,Q2,2017-04,Sunday,1,16
2017-04-24,2017,4,April,2,Q2,2017-04,Monday,0,17
2017-04-25,2017,4,April,2,Q2,2017-04,Tuesday,0,17
2017-04-26,2017,4,April,2,Q2,2017-04,Wednesday,0,17
2017-04-27,2017,4,April,2,Q2,2017-04,Thursday,0,17
2017-04-28,2017,4,April,2,Q2,2017-04,Friday,0,17
2017-04-29,2017,4,April,2,Q2,2017-04,Saturday,1,17
2017-04-30,2017,4,April,2,Q2,2017-04,Sunday,1,17
2017-05-01,2017,5,May,2,Q2,2017-05,Monday,0,18
2017-05-02,2017,5,May,2,Q2,2017-05,Tuesday,0,18
2017-05-03,2017,5,May,2,Q2,2017-05,Wednesday,0,18
2017-05-04,2017,5,May,2,Q2,2017-05,Thursday,0,18
2017-05-05,2017,5,May,2,Q2,2017-05,Friday,0,18
2017-05-06,2017,5,May,2,Q2,2017-05,Saturday,1,18
2017-05-07,2017,5,May,2,Q2,2017-05,Sunday,1,18
2017-05-08,2017,5,May,2,Q2,2017-05,Monday,0,19
2017-05-09,2017,5,May,2,Q2,2017-05,Tuesday,0,19
2017-05-10,2017,5,May,2,Q2,2017-05,Wednesday,0,19
2017-05-11,2017,5,May,2,Q2,2017-05,Thursday,0,19
2017-05-12,2017,5,May,2,Q2,2017-05,Friday,0,19
2017-05-13,2017,5,May,2,Q2,2017-05,Saturday,1,19
2017-05-14,2017,5,May,2,Q2,2017-05,Sunday,1,19
2017-05-15,2017,5,May,2,Q2,2017-05,Monday,0,20
2017-05-16,2017,5,May,2,Q2,2017-05,Tuesday,0,20
2017-05-17,2017,5,May,2,Q2,2017-05,Wednesday,0,20
